Category,Subcategory,Item Name,Brand,Price
Alcoholic Beverages,Wines,Syrah,Stellenbosch Vineyards,110
Alcoholic Beverages,Wines,Shiraz,Stellenbosch Vineyards,110
Alcoholic Beverages,Wines,Rose,Stellenbosch Vineyards,80
Alcoholic Beverages,Wines,Sauvignon Blanc,Stellenbosch Vineyards,90
Alcoholic Beverages,Wines,Chardonnay,Stellenbosch Vineyards,100
Alcoholic Beverages,Wines,Cabernet,Durbanville,90
Alcoholic Beverages,Wines,Sauvignon,Durbanville,85
Alcoholic Beverages,Wines,Merlot,Durbanville,95
Alcoholic Beverages,Wines,Pinot,Durbanville,100
Alcoholic Beverages,Wines,Syrah,Durbanville,105
Alcoholic Beverages,Wines,Shiraz,Durbanville,105
Alcoholic Beverages,Wines,Rose,Durbanville,75
Alcoholic Beverages,Wines,Sauvignon Blanc,Durbanville,80
Alcoholic Beverages,Wines,Chardonnay,Durbanville,85
Alcoholic Beverages,Whiskey,Whiskey,Jameson,300
Alcoholic Beverages,Whiskey,Whiskey,Johnny Walker,400
Alcoholic Beverages,Whiskey,Whiskey,Jack Daniels,350
Alcoholic Beverages,Whiskey,Whiskey,Three Ships,250
Alcoholic Beverages,Liqueur,Liqueur,Amarula,180
Deli,Hams,Polony,House Brand,40
Deli,Hams,Sandwich Ham,House Brand,50
Deli,Hams,Salami,House Brand,60
Deli,Hams,Cooked Ham,House Brand,55
Deli,Pies,Pepper Steak,House Brand,35
Deli,Pies,Chicken Mushroom,House Brand,38
Deli,Pies,Steak Curry,House Brand,37
Deli,Pies,Steak Kidney,House Brand,34
Deli,Pies,Sausage Roll,House Brand,30
Deli,Pies,Cheese Spinach,House Brand,32
Deli,Salads,Pasta Salad,House Brand,25
Deli,Cooked Foods,Roast Chicken,House Brand,100
Deli,Cooked Foods,Baked Potato,House Brand,20
Deli,Cooked Foods,Sausages,House Brand,45
Meat & Seafood,Fresh Meat,Chicken Breast,Rainbow Chicken,80
Meat & Seafood,Fresh Meat,Chicken Thighs,House Brand,65
Meat & Seafood,Fresh Meat,Pork Belly,Lynca Meats,110
Meat & Seafood,Fresh Meat,Pork Sausages,Enterprise,70
Meat & Seafood,Fresh Meat,Beef Steak,Quality Butchery,150
Meat & Seafood,Fresh Meat,Ground Beef,Aadvark Beef,90
Meat & Seafood,Fresh Meat,Lamb Chops,Karoo Lamb,140
Meat & Seafood,Fresh Meat,Beef Roast,Frigga,130
Meat & Seafood,Processed Meat,Ham,Willowton,90
Meat & Seafood,Processed Meat,Bacon,Eskort,110
Meat & Seafood,Processed Meat,Salami,Franco’s,85
Meat & Seafood,Processed Meat,Polony,Eskort,40
Meat & Seafood,Sausages & Frankfurters,Boerewors,Enterprise,50
Meat & Seafood,Sausages & Frankfurters,Frankfurters,Eskort,55
Meat & Seafood,Sausages & Frankfurters,Russian Sausages,Willowton,60
Meat & Seafood,Sausages & Frankfurters,Chorizo,Woodlands,70
Meat & Seafood,Seafood,Fresh Salmon,Sea Pride,180
Meat & Seafood,Seafood,Fresh Hake,Sea Pride,100
Meat & Seafood,Seafood,Shrimp (Prawns),Sea Pride,150
Meat & Seafood,Seafood,Mussels,Sea Pride,120
Meat & Seafood,Frozen Seafood,Frozen Fish Fillets,Cape Town Fish,130
Meat & Seafood,Frozen Seafood,Frozen Prawns,Pamona,140
Meat & Seafood,Canned Seafood,Tuna (Canned),John West,35
Meat & Seafood,Seafood Snacks,Fish Cakes,House Brand,45
Meat & Seafood,Seafood Snacks,Smoked Salmon,House Brand,100
Meat & Seafood,Game Meat,Venison,Game Meat SA,200
Meat & Seafood,Game Meat,Kudu Steaks,Game Meat SA,220
Fresh Produce,Fresh Fruits,Pink Lady,House Brand,25
Fresh Produce,Fresh Fruits,Bananas,House Brand,15
Fresh Produce,Fresh Fruits,Oranges,House Brand,20
Fresh Produce,Fresh Fruits,Mangoes,House Brand,30
Fresh Produce,Fresh Fruits,Grapes,House Brand,40
Fresh Produce,Fresh Fruits,Pears,House Brand,22
Fresh Produce,Fresh Vegetables,Potatoes,House Brand,12
Fresh Produce,Fresh Vegetables,Tomatoes,House Brand,18
Fresh Produce,Fresh Vegetables,Carrots,House Brand,15
Fresh Produce,Fresh Vegetables,Lettuce,House Brand,14
Fresh Produce,Fresh Vegetables,Spinach,House Brand,20
Fresh Produce,Fresh Vegetables,Broccoli,House Brand,25
Fresh Produce,Fresh Vegetables,Cucumbers,Pick n Pay,12
Fresh Produce,Fresh Vegetables,Avocados,House Brand,35
Fresh Produce,Fresh Herbs,Parsley,House Brand,10
Fresh Produce,Fresh Herbs,Basil,House Brand,15
Fresh Produce,Fresh Herbs,Mint,House Brand,12
Fresh Produce,Fresh Herbs,Coriander,House Brand,14
Fresh Produce,Fresh Mushrooms,White Mushrooms,House Brand,30
Fresh Produce,Fresh Mushrooms,Brown Mushrooms,House Brand,32
Fresh Produce,Fresh Mushrooms,Exotic Mushrooms,House Brand,40
Fresh Produce,Fresh Berries,Strawberries,House Brand,45
Fresh Produce,Fresh Berries,Blueberries,House Brand,50
Fresh Produce,Fresh Berries,Raspberries,House Brand,55
Fresh Produce,Fresh Citrus,Lemons,House Brand,8
Fresh Produce,Fresh Citrus,Limes,House Brand,9
Fresh Produce,Fresh Root Vegetables,Sweet Potatoes,House Brand,18
Fresh Produce,Fresh Root Vegetables,Onions,House Brand,10
Household and Outdoors,Cleaning Products,All-Purpose Cleaner,Dettol,45
Household and Outdoors,Cleaning Products,Toilet Cleaner,Domestos,35
Household and Outdoors,Cleaning Products,Dishwashing Liquid,Sunlight,30
Household and Outdoors,Cleaning Products,Glass Cleaner,Easy-Off,40
Household and Outdoors,Laundry Products,Laundry Detergent,Omo,70
Household and Outdoors,Laundry Products,Fabric Softener,Comfort,45
Household and Outdoors,Laundry Products,Stain Remover,Vanish,50
Household and Outdoors,Laundry Products,Washing Powder,Surf,60
Household and Outdoors,Air Fresheners,Air Freshener Spray,Glade,25
Household and Outdoors,Air Fresheners,Plug-in Air Freshener,Air Wick,30
Household and Outdoors,Waste Management,Garbage Bags,Binsmart,40
Household and Outdoors,Waste Management,Compostable Bags,BioBag,50
Household and Outdoors,Pest Control,Insect Repellent,Baygon,35
Household and Outdoors,Pest Control,Rat Poison,Zynod,70
Household and Outdoors,Pest Control,Mosquito Spray,Doom,25
Household and Outdoors,Home Care,Furniture Polish,Pledge,45
Household and Outdoors,Home Care,Stainless Steel Cleaner,Jif,40
Household and Outdoors,Home Care,Leather Cleaner,Furniture Clinic,55
Household and Outdoors,Lighting,Light Bulbs,Osram,20
Household and Outdoors,Lighting,LED Lights,Phillips,50
Electronics,Kitchen,Air Fryer 6L,Phillips,1200.00
Electronics,Kitchen,Air Fryer XL,Phillips,1500.00
Electronics,Kitchen,Stand Mixer,Phillips,2000.00
Electronics,Kitchen,Blender,Russel & Hobbs,800
Electronics,Kitchen,Blender,Midea,700
Electronics,Kitchen,Microwave 6L,Phillips,1500.00
Electronics,Kitchen,Microwave 6L,Phillips,2000.00
Electronics,Kitchen,Microwave 200W 6L,Russel & Hobbs,800
